id;Point_passage;Altitude_m;Cumul_Dist_km;Delta_Dist_km;Cumul_D+_m;Delta_D+_m;lon;lat;Heure_Passage;Temps_course;Classement;Vitesse_km/h;H_reel_h;Delta_reel_h
0;Départ Annecy;451;0.0;0.0;0;0;6.14808;45.90443;Sat. 02:50;00:00:00;-;0.0;0.0;0.0
2;RAV - Semnoz;1477;17.1;17.1;1257;1257;6.09648;45.80394;Sat. 04:36;01:45:34;9;9.72;1.7594444444444444;1.7594444444444444
4;Col de la Cochette;1303;36.4;19.3;2358;1101;6.17865;45.79703;Sat. 06:28;03:38:21;8;10.25;3.6391666666666667;1.8797222222222223
6;Entrée RAV- Doussard;470;47.7;11.3;2666;308;6.2232;45.78078;Sat. 07:40;04:49:41;7;9.5;4.828055555555555;1.1888888888888887
8;Sortie RAV- Doussard;468;47.9;0.2;2666;0;6.22412;45.78222;Sat. 07:40;04:50:18;6;19.46;4.838333333333333;0.010277777777777608
10;Montmin;1056;56.8;8.9;3510;844;6.26473;45.8033;Sat. 08:55;06:05:12;6;7.16;6.086666666666666;1.248333333333333
14;Col des Nantets;1419;62.8;6.0;4128;618;6.26732;45.84061;Sat. 09:43;06:52:38;6;7.54;6.877222222222223;0.7905555555555566
16;Roc Lancrenaz;1650;63.9;1.1;4363;235;6.26048;45.84468;Sat. 09:58;07:08:07;6;4.42;7.1352777777777785;0.2580555555555559
18;RAV - Villard Dessus;760;69.7;5.8;4412;49;6.22987;45.88033;Sat. 10:28;07:37:51;7;11.72;7.630833333333334;0.49555555555555575
20;Plateforme Téléphérique;1250;78.6;8.9;5220;808;6.18922;45.89205;Sat. 11:37;08:47:13;5;7.66;8.786944444444444;1.1561111111111098
22;Mont Barron;1278;79.2;0.6;5266;46;6.18656;45.89675;Sat. 11:45;08:55:14;6;4.57;8.920555555555556;0.13361111111111157
30;Arrivée Annecy;451;86.6;6.4;5391;84;6.14808;45.90443;Sat. 12:23;09:33:17;6;11.68;9.554722222222223;0.6341666666666672
