id;Point_passage;Altitude_m;Cumul_Dist_km;Delta_Dist_km;Cumul_D+_m;Delta_D+_m;lon;lat;Heure_Passage;Temps_course;Classement;Vitesse_km/h;H_reel_h;Delta_reel_h
0;Courmayeur;1229;0.0;0.0;0;0;6.97176;45.79288;Tue. 00:00;00:00:00;-;0.0;0.0;0.0
45;Checrouit - Maison Veille;1947;6.8;6.8;789;789;6.93114;45.79073;Tue. 00:54;00:54:14;28;7.47;0.903888888888889;0.903888888888889
46;Arête du Mont-Favre;2431;11.3;4.6;1383;594;6.89001;45.77228;Tue. 01:32;01:32:04;24;7.28;1.5344444444444443;0.6305555555555553
47;Lac Combal;1975;15.2;3.9;1423;40;6.85595;45.77058;Tue. 01:53;01:52:52;22;11.25;1.8811111111111112;0.3466666666666669
48;Col Chavannes;2591;19.9;4.6;2067;644;6.83501;45.74951;Tue. 02:36;02:35:56;17;6.45;2.5988888888888892;0.7177777777777781
50;Col du petit Saint Bernard;2188;35.5;15.7;2665;598;6.88566;45.6832;Tue. 04:12;04:12:14;18;9.76;4.203888888888889;1.6049999999999995
52;Séez;913;47.1;11.6;2705;40;6.8002;45.62282;Tue. 05:12;05:11:49;15;11.68;5.196944444444445;0.9930555555555562
53;Bourg Saint-Maurice - Entrée;858;50.8;3.6;2765;60;6.76524;45.61761;Tue. 05:29;05:29:01;15;12.7;5.483611111111111;0.2866666666666662
54;Bourg Saint-Maurice - Sortie;858;50.8;0.0;2765;0;6.76524;45.61761;Tue. 05:36;05:35:48;15;0.0;5.596666666666667;0.11305555555555546
56;Fort de la Platte;1972;55.6;4.8;3882;1117;6.74301;45.63778;Tue. 06:46;06:46:23;14;4.08;6.773055555555556;1.176388888888889
57;Passeur de Pralognan;2558;61.9;6.3;4671;789;6.71218;45.66871;Tue. 07:55;07:54:54;15;5.53;7.915;1.1419444444444444
58;Cormet de Roselend;1975;66.3;4.4;4706;35;6.69059;45.69139;Tue. 08:24;08:24:22;14;8.94;8.40611111111111;0.4911111111111106
61;La Gittaz;1664;74.2;8.0;5107;401;6.67448;45.72277;Tue. 09:23;09:22:55;11;8.17;9.381944444444445;0.975833333333334
62;Entre deux Nants;2143;77.7;3.5;5592;485;6.674;45.73795;Tue. 09:55;09:54:45;11;6.58;9.9125;0.530555555555555
64;Pas d'Outray;2173;85.0;7.2;6083;491;6.61377;45.72811;Tue. 10:59;10:59:16;10;6.72;10.987777777777778;1.075277777777778
65;Beaufort;757;93.6;8.6;6222;139;6.57212;45.71589;Tue. 12:02;12:02:13;9;8.24;12.036944444444444;1.0491666666666664
68;Hauteluce;1156;99.6;6.0;6770;548;6.58264;45.74895;Tue. 13:05;13:05:27;7;6.77;13.090833333333334;1.0538888888888902
71;Col du Joly;1989;115.1;15.5;8162;1392;6.67408;45.78366;Tue. 15:47;15:47:00;7;5.75;15.783333333333333;2.692499999999999
72;Les Contamines Montjoie;1167;124.2;9.1;8212;50;6.72691;45.82227;Tue. 16:49;16:48:48;6;8.83;16.813333333333333;1.0299999999999994
75;Col de Tricot;2104;131.3;7.1;9346;1134;6.77007;45.85029;Tue. 18:57;18:57:09;8;3.31;18.9525;2.139166666666668
76;Bellevue;1792;135.2;4.0;9518;172;6.77907;45.87384;Tue. 19:49;19:49:17;8;4.57;19.82138888888889;0.8688888888888897
77;Les Houches;1022;139.8;4.6;9529;11;6.79823;45.89003;Tue. 20:24;20:24:25;9;7.8;20.40694444444444;0.5855555555555512
143;Chamonix;1031;147.6;7.8;9738;209;6.8693;45.92364;Tue. 21:22;21:22:21;9;8.08;21.3725;0.9655555555555573
