id;Point_passage;Altitude_m;Cumul_Dist_km;Delta_Dist_km;Cumul_D+_m;Delta_D+_m;lon;lat;Heure_Passage;Temps_course;Classement;Vitesse_km/h;H_reel_h;Delta_reel_h
0;Cortina d'Ampezzo;1212;0.0;0.0;0;0;12.137;46.53745;Fri. 23:00;00:00:00;-;0.0;0.0;0.0
2;Ospitale - 120K;1483;18.8;18.8;823;823;12.14235;46.60251;Sat. 00:32;01:32:42;3;12.17;1.545;1.545
4;Passo Tre Croci - 120K;1797;28.1;9.3;1480;657;12.2011;46.55695;Sat. 01:31;02:31:48;3;9.4;2.53;0.9849999999999999
6;Federavecchia;1385;34.1;6.1;1546;66;12.24854;46.54687;Sat. 01:58;02:58:53;3;13.43;2.981388888888889;0.4513888888888893
8;Misurina;1761;42.7;8.5;2113;567;12.25325;46.57797;Sat. 02:56;03:56:29;1;8.9;3.941388888888889;0.96
10;Rifugio Auronzo;2312;49.9;7.3;2707;594;12.29643;46.61231;Sat. 03:48;04:48:23;2;8.38;4.806388888888889;0.8649999999999998
17;Cimabanche;1532;67.6;17.6;2988;281;12.18375;46.62006;Sat. 05:17;06:17:29;3;11.87;6.291388888888889;1.4850000000000003
18;Malga Ra Stua;1705;77.2;9.6;3520;532;12.0989;46.6253;Sat. 06:17;07:17:21;2;9.64;7.289166666666667;0.9977777777777774
20;Pian de Loa;1380;81.8;4.6;3596;76;12.0995;46.60022;Sat. 06:42;07:42:44;1;10.99;7.7122222222222225;0.42305555555555596
22;Malga Travenanzes;1986;90.6;8.7;4307;711;12.0414;46.55242;Sat. 07:43;08:43:09;1;8.67;8.719166666666666;1.0069444444444438
24;Col Gallina;2057;97.6;7.1;4799;492;12.01809;46.51958;Sat. 08:37;09:37:26;1;7.83;9.623888888888889;0.9047222222222224
26;Rifugio Averau;2419;101.8;4.2;5276;477;12.04059;46.49967;Sat. 09:15;10:15:36;1;6.57;10.26;0.6361111111111111
28;Passo Giau;2243;105.2;3.4;5379;103;12.0537;46.48266;Sat. 09:38;10:38:50;1;8.75;10.647222222222222;0.38722222222222236
30;Mondeval;2249;109.0;3.8;5589;210;12.08844;46.4699;Sat. 10:07;11:07:19;1;7.94;11.121944444444445;0.4747222222222227
32;Rifugio Croda da Lago;2070;112.8;3.9;5703;114;12.10574;46.48641;Sat. 10:29;11:29:12;1;10.61;11.486666666666666;0.3647222222222215
34;Mortisa;1256;120.3;7.4;5767;64;12.12792;46.5306;Sat. 11:04;12:04:19;1;12.71;12.071944444444444;0.5852777777777778
102;Cortina d'Ampezzo;1221;122.2;1.9;5822;55;12.13698;46.53749;Sat. 11:13;12:13:04;1;13.17;12.217777777777778;0.14583333333333393
