id;Point_passage;Altitude_m;Cumul_Dist_km;Delta_Dist_km;Cumul_D+_m;Delta_D+_m;lon;lat;Heure_Passage;Temps_course;Classement;Vitesse_km/h;H_reel_h;Delta_reel_h
0;Chamonix;1044;0.0;0.0;0;0;6.86924;45.92356;Fri. 17:59;00:00:00;-;0.0;0.0;0.0
2;Col de Voza;1665;13.1;13.1;783;783;6.76011;45.87729;Fri. 19:08;01:09:01;6;11.35;1.1502777777777777;1.1502777777777777
3;Saint-Gervais;811;21.4;8.4;925;142;6.7114;45.89269;Fri. 19:45;01:46:07;5;13.55;1.7686111111111111;0.6183333333333334
4;Les Contamines Montjoie;1163;31.5;10.0;1516;591;6.72617;45.82228;Fri. 20:41;02:42:11;1;10.72;2.7030555555555558;0.9344444444444446
5;La Balme;1715;40.1;8.6;2096;580;6.71065;45.75734;Fri. 21:36;03:36:44;1;9.49;3.6122222222222224;0.9091666666666667
6;Refuge de la Croix du Bonhomme;2449;45.8;5.7;2896;800;6.7176;45.72212;Fri. 22:30;04:30:57;1;6.27;4.515833333333333;0.9036111111111107
7;Les Chapieux;1552;50.8;5.0;2896;0;6.73337;45.69633;Fri. 22:55;04:55:51;1;12.07;4.930833333333334;0.4150000000000009
8;Col de la Seigne;2512;61.3;10.5;3966;1070;6.80689;45.75144;Sat. 00:20;06:20:41;1;7.6;6.344722222222222;1.4138888888888879
11;Lac Combal;1960;68.6;7.3;4249;283;6.85718;45.77088;Sat. 01:08;07:09:08;1;8.99;7.152222222222223;0.807500000000001
12;Arête du Mont-Favre;2436;72.4;3.8;4729;480;6.88995;45.77228;Sat. 01:45;07:46:13;1;6.16;7.770277777777777;0.6180555555555545
13;Checrouit - Maison Vieille;1958;76.9;4.5;4748;19;6.93091;45.79056;Sat. 02:10;08:10:58;1;10.93;8.182777777777778;0.41250000000000053
14;Courmayeur - Mountain Sport Center Entrée;1191;81.8;4.9;4754;6;6.96487;45.79425;Sat. 02:35;08:36:15;1;11.63;8.604166666666666;0.42138888888888815
15;Courmayeur - Mountain Sport Center Sortie;1191;81.8;0.0;4754;0;6.96487;45.79425;Sat. 02:39;08:40:05;1;0.0;8.668055555555554;0.06388888888888822
18;Refuge Bertone;1988;87.1;5.3;5561;807;6.97859;45.80918;Sat. 03:31;09:31:45;1;6.19;9.529166666666667;0.8611111111111125
19;Refuge Bonatti;2023;94.6;7.5;5861;300;7.03313;45.84681;Sat. 04:25;10:25:20;2;8.35;10.422222222222222;0.8930555555555557
20;Arnouvaz;1778;99.8;5.2;5997;136;7.05399;45.87135;Sat. 04:58;10:58:55;2;9.29;10.981944444444444;0.5597222222222218
22;Grand Col Ferret;2538;104.1;4.3;6763;766;7.07787;45.88902;Sat. 05:53;11:54:00;2;4.71;11.9;0.9180555555555561
24;La Fouly;1603;113.9;9.8;6845;82;7.09843;45.93559;Sat. 06:54;12:54:50;2;9.7;12.91388888888889;1.0138888888888893
27;Champex-Lac;1474;127.6;13.7;7377;532;7.12235;46.02575;Sat. 08:20;14:20:46;2;9.75;14.346111111111112;1.4322222222222223
30;La Giète;1883;138.8;11.2;8172;795;7.03402;46.05578;Sat. 09:40;15:40:48;2;8.72;15.68;1.3338888888888878
31;Trient;1303;143.8;5.0;8214;42;6.99486;46.05588;Sat. 10:03;16:03:52;1;13.14;16.064444444444444;0.38444444444444414
33;Les Tseppes;1944;147.5;3.7;8872;658;6.97952;46.04751;Sat. 10:42;16:42:34;1;6.12;16.709444444444443;0.6449999999999996
34;Vallorcine Entrée;1269;154.4;6.9;9037;165;6.93356;46.03218;Sat. 11:28;17:28:31;1;9.01;17.475277777777777;0.7658333333333331
35;Vallorcine Sortie;1269;154.4;0.0;9037;0;6.93356;46.03218;Sat. 11:30;17:30:25;1;0.0;17.506944444444443;0.03166666666666629
44;La Flégère;1899;166.6;12.2;10015;978;6.8866;45.9606;Sat. 12:58;18:58:32;1;8.29;18.975555555555555;1.4686111111111124
144;Chamonix;1044;173.5;6.9;10015;0;6.86924;45.92356;Sat. 13:37;19:37:43;1;10.61;19.628611111111113;0.6530555555555573
